21. Round,,1,X,2,
Nottingham - Preston,1:1,2.5,3.5,3.11,14.12.2016
QPR - Derby,0:1,3.6,3.42,2.3,14.12.2016
Wigan - Newcastle Utd,0:2,5.9,3.91,1.74,14.12.2016
Birmingham - Ipswich,2:1,2.26,3.29,3.8,13.12.2016
Blackburn - Brighton,2:3,4.25,3.41,2.15,13.12.2016
Bristol City - Brentford,0:1,2.13,3.75,3.7,13.12.2016
Burton - Huddersfield,0:1,3,3.3,2.7,13.12.2016
Cardiff - Wolves,2:1,2.38,3.5,3.35,13.12.2016
Fulham - Rotherham,2:1,1.37,5.75,10,13.12.2016
Leeds - Reading,2:0,2.12,3.5,4.15,13.12.2016
Norwich - Aston Villa,1:0,2.31,3.4,3.6,13.12.2016
Sheffield Wed - Barnsley,2:0,1.84,3.9,5.25,13.12.2016
20. Round,,1,X,2,
Derby - Nottingham,3:0,1.87,3.69,5.42,11.12.2016
Aston Villa - Wigan,1:0,1.76,3.81,6,10.12.2016
Barnsley - Norwich,2:1,3.4,3.67,2.25,10.12.2016
Brentford - Burton,2:1,2.1,3.69,3.82,10.12.2016
Huddersfield - Bristol City,2:1,2.3,3.46,3.64,10.12.2016
Ipswich - Cardiff,1:1,2.5,3.2,3.5,10.12.2016
Newcastle Utd - Birmingham,4:0,1.44,4.96,9,10.12.2016
Preston - Blackburn,3:2,2.25,3.4,3.8,10.12.2016
Reading - Sheffield Wed,2:1,3,3.32,2.75,10.12.2016
Rotherham - QPR,1:0,3.4,3.52,2.38,10.12.2016
Wolves - Fulham,4:4,2.8,3.57,2.72,10.12.2016
Brighton - Leeds,2:0,1.86,3.61,5.18,09.12.2016
19. Round,,1,X,2,
Birmingham - Barnsley,0:3,2.18,3.65,3.8,03.12.2016
Blackburn - Huddersfield,1:1,2.9,3.35,2.8,03.12.2016
Bristol City - Ipswich,2:0,2.1,3.5,4.04,03.12.2016
Burton - Rotherham,2:1,1.75,4.06,5.35,03.12.2016
Cardiff - Brighton,0:0,3.5,3.33,2.4,03.12.2016
Fulham - Reading,5:0,2,3.75,4.33,03.12.2016
Leeds - Aston Villa,2:0,2.97,3.25,2.88,03.12.2016
Norwich - Brentford,5:0,2.01,3.8,4.05,03.12.2016
Sheffield Wed - Preston,2:1,1.95,3.7,5.1,03.12.2016
Wigan - Derby,0:1,3.8,3.4,2.25,03.12.2016
Nottingham - Newcastle Utd,2:1,4.75,3.97,1.85,02.12.2016
QPR - Wolves,1:2,2.7,3.36,3.12,01.12.2016
18. Round,,1,X,2,
Huddersfield - Wigan,1:2,1.97,3.53,4.6,28.11.2016
Aston Villa - Cardiff,3:1,2.12,3.4,4.33,26.11.2016
Brentford - Birmingham,1:2,2.16,3.6,3.8,26.11.2016
Brighton - Fulham,2:1,2,3.66,4.33,26.11.2016
Derby - Norwich,1:0,2.17,3.6,3.8,26.11.2016
Ipswich - QPR,3:0,2.5,3.27,3.4,26.11.2016
Newcastle Utd - Blackburn,0:1,1.36,5.69,11,26.11.2016
Preston - Burton,1:1,2.25,3.4,3.85,26.11.2016
Reading - Bristol City,2:1,2.45,3.52,3.2,26.11.2016
Rotherham - Leeds,1:2,4,3.7,2.05,26.11.2016
Wolves - Sheffield Wed,0:2,3.1,3.3,2.7,26.11.2016
Barnsley - Nottingham,2:5,2.4,3.6,3.25,25.11.2016
17. Round,,1,X,2,
Leeds - Newcastle Utd,0:2,4,3.5,2.1,20.11.2016
Barnsley - Wigan,0:0,2.6,3.5,3,19.11.2016
Birmingham - Bristol City,1:0,2.56,3.4,3,19.11.2016
Blackburn - Brentford,3:2,2.75,3.41,2.87,19.11.2016
Cardiff - Huddersfield,3:2,2.4,3.25,3.45,19.11.2016
Derby - Rotherham,3:0,1.47,5,8,19.11.2016
Fulham - Sheffield Wed,1:1,2.5,3.46,3.2,19.11.2016
Ipswich - Nottingham,0:2,2.15,3.5,3.9,19.11.2016
Preston - Wolves,0:0,2.5,3.46,3.2,19.11.2016
QPR - Norwich,2:1,3.3,3.5,2.37,19.11.2016
Reading - Burton,3:0,2.11,3.6,4,19.11.2016
Brighton - Aston Villa,1:1,2.1,3.4,4.75,18.11.2016
16. Round,,1,X,2,
Aston Villa - Blackburn,2:1,1.83,4,5.5,05.11.2016
Bristol City - Brighton,0:2,3.05,3.4,2.6,05.11.2016
Burton - Barnsley,0:0,2.25,3.6,3.8,05.11.2016
Huddersfield - Birmingham,1:1,2.17,3.3,4.09,05.11.2016
Newcastle Utd - Cardiff,2:1,1.55,4.5,8,05.11.2016
Norwich - Leeds,2:3,1.93,3.7,4.5,05.11.2016
Nottingham - QPR,1:1,2.3,3.6,3.54,05.11.2016
Rotherham - Preston,1:3,3.49,3.6,2.38,05.11.2016
Sheffield Wed - Ipswich,1:2,1.8,3.75,5.8,05.11.2016
Wigan - Reading,0:3,2.45,3.4,3.58,05.11.2016
Wolves - Derby,2:3,2.75,3.25,3.2,05.11.2016
Brentford - Fulham,0:2,2.6,3.52,3,04.11.2016
15. Round,,1,X,2,
Birmingham - Aston Villa,1:1,3.24,3.2,2.75,30.10.2016
Barnsley - Bristol City,2:2,3.55,3.72,2.22,29.10.2016
Blackburn - Wolves,1:1,3.2,3.39,2.5,29.10.2016
Brighton - Norwich,5:0,2.35,3.33,3.6,29.10.2016
Cardiff - Wigan,0:1,2.21,3.4,4.06,29.10.2016
Derby - Sheffield Wed,2:0,2.6,3.28,3.29,29.10.2016
Fulham - Huddersfield,5:0,2.37,3.46,3.6,29.10.2016
Ipswich - Rotherham,2:2,1.82,3.78,5,29.10.2016
Leeds - Burton,2:0,2.05,3.65,4.14,29.10.2016
Preston - Newcastle Utd,1:2,5.25,3.87,1.8,29.10.2016
Reading - Nottingham,2:0,1.95,3.78,4.4,29.10.2016
QPR - Brentford,0:2,2.75,3.34,2.93,28.10.2016
14. Round,,1,X,2,
Aston Villa - Fulham,1:0,2.16,3.6,3.75,22.10.2016
Brentford - Barnsley,0:2,1.67,4.5,6,22.10.2016
Bristol City - Blackburn,1:0,1.8,3.9,5.25,22.10.2016
Huddersfield - Derby,1:0,2.9,3.12,3.1,22.10.2016
Newcastle Utd - Ipswich,3:0,1.5,4.54,8.5,22.10.2016
Norwich - Preston,0:1,1.67,4.26,6.25,22.10.2016
Nottingham - Cardiff,1:2,2.7,3.4,2.91,22.10.2016
Rotherham - Reading,0:1,3.3,3.6,2.43,22.10.2016
Sheffield Wed - QPR,1:0,1.75,4.01,5.5,22.10.2016
Wigan - Brighton,0:1,3.25,3.36,2.55,22.10.2016
Wolves - Leeds,0:1,2.25,3.42,4.05,22.10.2016
Burton - Birmingham,2:0,3.05,3.25,2.75,21.10.2016
13. Round,,1,X,2,
Cardiff - Sheffield Wed,1:1,3,3.3,2.8,19.10.2016
Preston - Huddersfield,3:1,2.84,3.25,2.95,19.10.2016
Barnsley - Newcastle Utd,0:2,6,4.24,1.65,18.10.2016
Birmingham - Rotherham,4:2,1.67,4.01,6.5,18.10.2016
Blackburn - Nottingham,2:1,2.62,3.4,2.91,18.10.2016
Brighton - Wolves,1:0,2.01,3.6,4.41,18.10.2016
Derby - Brentford,0:0,1.95,3.62,4.43,18.10.2016
Fulham - Norwich,2:2,3.1,3.55,2.45,18.10.2016
Ipswich - Burton,2:0,2.12,3.4,4.2,18.10.2016
Leeds - Wigan,1:1,2.14,3.4,4.2,18.10.2016
QPR - Bristol City,1:0,3.2,3.39,2.75,18.10.2016
Reading - Aston Villa,1:2,2.72,3.25,2.92,18.10.2016
12. Round,,1,X,2,
Huddersfield - Sheffield Wed,0:1,2.7,3.25,3.2,16.10.2016
Aston Villa - Wolves,1:1,2.11,3.5,4.33,15.10.2016
Barnsley - Fulham,2:4,3,3.6,2.8,15.10.2016
Blackburn - Ipswich,0:0,2.74,3.25,3.1,15.10.2016
Brighton - Preston,2:2,1.73,3.8,5.85,15.10.2016
Derby - Leeds,1:0,2.02,3.6,4.8,15.10.2016
Newcastle Utd - Brentford,3:1,1.65,4.31,6.2,15.10.2016
Norwich - Rotherham,3:1,1.39,5.76,10,15.10.2016
QPR - Reading,1:1,2.88,3.25,3,15.10.2016
Wigan - Burton,0:0,2.1,3.6,4,15.10.2016
Cardiff - Bristol City,2:1,2.87,3.4,2.8,14.10.2016
Nottingham - Birmingham,3:1,2.7,3.45,3,14.10.2016
11. Round,,1,X,2,
