AC Allianssi - KuPS,CAN.,,,,29.10.2006
Haka - MyPa,1:2,1.57,4.2,5.75,29.10.2006
HJK - Tampere Utd,0:3,2.15,3.35,3.85,29.10.2006
Inter Turku - Honka,2:1,3.5,3.6,2.2,29.10.2006
Lahti - KooTeePee,0:4,1.7,3.8,5.4,29.10.2006
Mariehamn - Jaro,0:0,2.35,3.1,3.45,29.10.2006
VPS - TPS,1:1,2.29,3.6,3.2,29.10.2006
Honka - HJK,0:0,3.75,3.45,2.1,22.10.2006
Jaro - Inter Turku,1:5,2.35,3.3,3.3,22.10.2006
KooTeePee - AC Allianssi,CAN.,,,,22.10.2006
KuPS - Haka,1:2,4.84,3.75,1.75,22.10.2006
MyPa - VPS,1:2,1.65,4,5.5,22.10.2006
Tampere Utd - Lahti,3:1,1.5,4.5,7.75,22.10.2006
TPS - Mariehamn,0:4,2.4,3.4,3,22.10.2006
Inter Turku - Haka,1:3,4,3.45,1.95,16.10.2006
Haka - AC Allianssi,CAN.,,,,15.10.2006
HJK - Jaro,4:0,1.3,5.75,10,15.10.2006
KooTeePee - Tampere Utd,1:0,6,3.7,1.75,15.10.2006
Lahti - Honka,1:3,2.5,3.4,2.9,15.10.2006
Mariehamn - MyPa,1:0,2.5,3.3,2.85,15.10.2006
VPS - KuPS,0:2,2.29,3.6,3.2,15.10.2006
AC Allianssi - VPS,CAN.,,,,01.10.2006
Haka - KooTeePee,3:1,1.35,5,11,01.10.2006
Honka - Tampere Utd,1:3,2.75,3.3,2.75,01.10.2006
Jaro - Lahti,1:2,2.45,3.4,3,01.10.2006
KuPS - Mariehamn,1:2,2.5,3.41,3,01.10.2006
MyPa - Inter Turku,1:0,1.8,3.65,5,01.10.2006
TPS - HJK,1:4,6,3.75,1.75,01.10.2006
HJK - MyPa,4:1,1.8,3.65,5.25,24.09.2006
Inter Turku - KuPS,1:1,1.92,3.5,4.3,24.09.2006
KooTeePee - Honka,1:2,3.5,3.5,2.15,24.09.2006
Lahti - TPS,3:1,2.35,3.5,3.2,24.09.2006
Mariehamn - AC Allianssi,CAN.,,,,24.09.2006
Tampere Utd - Jaro,0:0,1.35,5.25,9,24.09.2006
VPS - Haka,2:1,4.86,3.6,1.8,24.09.2006
Inter Turku - MyPa,1:0,3.55,3.4,2.29,20.09.2006
AC Allianssi - Lahti,CAN.,,,,17.09.2006
Haka - HJK,2:2,2.6,3.2,3,17.09.2006
KuPS - Tampere Utd,0:2,6,3.6,1.7,17.09.2006
Mariehamn - KooTeePee,4:1,1.85,3.55,5.25,17.09.2006
MyPa - Honka,2:1,2.35,3.4,3.25,17.09.2006
TPS - Jaro,0:3,1.6,3.8,6.3,17.09.2006
VPS - Inter Turku,0:2,2.15,3.4,3.55,17.09.2006
HJK - VPS,3:0,1.4,4.76,9.75,10.09.2006
Inter Turku - Mariehamn,1:1,2.5,3.3,3.03,10.09.2006
KooTeePee - TPS,0:3,2.75,3.3,2.75,10.09.2006
Lahti - Haka,2:2,3.6,3.4,2.2,10.09.2006
Tampere Utd - AC Allianssi,CAN.,,,,10.09.2006
Tampere Utd - KuPS,1:0,1.31,5.5,12,10.09.2006
Jaro - MyPa,1:3,3.65,3.4,2.25,09.09.2006
Haka - Tampere Utd,0:3,2.38,3.25,3.5,28.08.2006
AC Allianssi - Honka,CAN.,,,,27.08.2006
Inter Turku - KooTeePee,0:0,2.2,3.4,3.4,27.08.2006
KuPS - Jaro,2:1,2.4,3.4,3.2,27.08.2006
Mariehamn - HJK,0:0,4.25,3.45,2.2,27.08.2006
MyPa - TPS,1:3,1.9,3.5,4.5,27.08.2006
VPS - Lahti,0:2,2.4,3.35,2.85,27.08.2006
Honka - KuPS,4:0,1.33,5.5,11,24.08.2006
KooTeePee - Inter Turku,3:1,2.12,3.4,3.55,24.08.2006
TPS - KuPS,1:2,1.5,4.5,8.5,21.08.2006
Honka - Haka,0:2,2.5,3.3,2.85,20.08.2006
Inter Turku - Jaro,2:2,2.15,3.4,3.35,20.08.2006
Jaro - AC Allianssi,CAN.,,,,20.08.2006
Lahti - Mariehamn,3:0,2.29,3.5,3.25,20.08.2006
Tampere Utd - VPS,2:3,1.42,4.5,10,20.08.2006
KooTeePee - MyPa,0:1,3.35,3.4,2.2,19.08.2006
AC Allianssi - Inter Turku,CAN.,,,,13.08.2006
Haka - Mariehamn,1:0,1.7,3.75,6.25,13.08.2006
Jaro - Honka,2:5,4,3.45,2,13.08.2006
KuPS - HJK,0:2,6.08,3.75,1.62,13.08.2006
MyPa - Lahti,1:0,1.9,3.5,4.55,13.08.2006
TPS - Tampere Utd,0:1,2.9,3.35,2.5,13.08.2006
VPS - KooTeePee,2:1,2.2,3.4,3.85,13.08.2006
Inter Turku - TPS,0:0,3.7,3.4,2.2,10.08.2006
HJK - AC Allianssi,CAN.,,,,07.08.2006
Honka - TPS,0:1,1.67,3.75,6,06.08.2006
KooTeePee - Jaro,2:1,2.13,3.4,3.6,06.08.2006
Lahti - KuPS,2:0,1.85,3.5,5,06.08.2006
Mariehamn - VPS,0:1,1.67,3.8,6.13,06.08.2006
Tampere Utd - MyPa,1:1,1.85,3.5,4.51,05.08.2006
Haka - VPS,4:1,1.46,4.5,8.58,03.08.2006
HJK - Inter Turku,5:0,1.4,4.9,9.25,03.08.2006
HJK - KooTeePee,5:0,1.45,4.4,7.79,31.07.2006
AC Allianssi - TPS,CAN.,,,,30.07.2006
Haka - Jaro,3:1,1.5,4,7.5,30.07.2006
Inter Turku - Lahti,0:1,2.29,3.35,3.11,30.07.2006
Mariehamn - Tampere Utd,1:0,3.65,3.3,2.25,30.07.2006
VPS - Honka,1:2,3.8,3.4,2.1,30.07.2006
KuPS - MyPa,1:0,4.5,3.5,1.9,29.07.2006
Tampere Utd - Inter Turku,3:1,1.44,4.33,9,27.07.2006
Honka - Mariehamn,2:1,1.75,3.6,5.3,23.07.2006
KooTeePee - KuPS,3:1,1.91,3.4,4.5,23.07.2006
Lahti - HJK,0:2,4.5,3.3,2.04,23.07.2006
TPS - Haka,1:2,2.65,3.3,2.8,23.07.2006
Jaro - VPS,1:1,2.15,3.4,3.7,22.07.2006
MyPa - AC Allianssi,CAN.,,,,22.07.2006
Jaro - KooTeePee,0:0,1.94,3.55,4.34,19.07.2006
Tampere Utd - HJK,0:2,1.85,3.4,4.59,19.07.2006
Honka - Inter Turku,6:0,1.79,3.6,5,16.07.2006
