AC Oulu - JJK Jyvaskyla,1:1,2.41,3.7,3.25,17.10.2015
Haka - VIFK,7:4,1.28,6.88,12,17.10.2015
Mikkeli - Ekenas,2:4,2.6,3.86,2.62,17.10.2015
PK-35 Vantaa - TPS,0:0,1.75,4.1,5.04,17.10.2015
PS Kemi - Jazz Pori,4:1,1.47,5.27,7.6,17.10.2015
Ekenas - AC Oulu,0:1,2.81,3.5,2.64,10.10.2015
Jazz Pori - Mikkeli,4:2,1.83,4.27,4.45,10.10.2015
JJK Jyvaskyla - PK-35 Vantaa,0:2,2.45,3.62,2.94,10.10.2015
TPS - Haka,2:0,1.8,3.9,4.84,10.10.2015
VIFK - PS Kemi,2:4,5.9,4.66,1.55,10.10.2015
Jazz Pori - JJK Jyvaskyla,0:1,4,3.99,1.96,04.10.2015
PK-35 Vantaa - Ekenas,2:2,1.29,7.5,11,04.10.2015
PS Kemi - AC Oulu,0:0,2.2,3.6,3.8,03.10.2015
TPS - VIFK,3:1,1.22,8.23,16.81,03.10.2015
Haka - Mikkeli,2:0,1.42,5.4,8,01.10.2015
AC Oulu - JJK Jyvaskyla,1:0,2.7,3.65,2.9,27.09.2015
Ekenas - PS Kemi,1:0,4.1,4,1.98,27.09.2015
VIFK - Jazz Pori,1:2,3.41,3.85,2.15,27.09.2015
AC Oulu - Haka,1:2,2.08,3.77,3.85,24.09.2015
JJK Jyvaskyla - TPS,0:3,1.92,3.87,4.4,24.09.2015
Mikkeli - PK-35 Vantaa,0:4,5.75,4.37,1.62,24.09.2015
Jazz Pori - Haka,3:2,3.4,3.77,2.4,20.09.2015
Mikkeli - AC Oulu,2:0,4.1,3.83,1.92,20.09.2015
PK-35 Vantaa - PS Kemi,5:2,2.3,3.51,3.25,20.09.2015
Ekenas - TPS,4:1,4.1,3.8,2.15,19.09.2015
JJK Jyvaskyla - VIFK,5:0,1.3,6.61,12,19.09.2015
JJK Jyvaskyla - Ekenas,5:1,1.64,4.48,5.5,15.09.2015
AC Oulu - VIFK,1:0,1.35,5.76,10,12.09.2015
PK-35 Vantaa - Jazz Pori,3:1,1.61,4.5,6,12.09.2015
PS Kemi - JJK Jyvaskyla,2:0,2.19,3.64,3.4,12.09.2015
TPS - Mikkeli,2:1,1.33,5.64,10.43,12.09.2015
Haka - Ekenas,0:1,1.54,4.87,6.25,10.09.2015
Jazz Pori - AC Oulu,0:0,2.84,3.6,2.55,05.09.2015
TPS - PS Kemi,1:1,2.65,3.51,2.76,05.09.2015
VIFK - Mikkeli,1:0,2.5,3.8,2.75,05.09.2015
Haka - PK-35 Vantaa,1:0,2.7,3.5,2.79,03.09.2015
PS Kemi - Haka,2:1,2.11,3.79,4,30.08.2015
AC Oulu - TPS,1:1,2.4,3.45,3.18,29.08.2015
Ekenas - Jazz Pori,0:0,2.38,3.7,2.99,29.08.2015
PK-35 Vantaa - VIFK,4:0,1.22,7.5,17,29.08.2015
JJK Jyvaskyla - Mikkeli,3:2,1.43,4.92,8.8,27.08.2015
Mikkeli - PS Kemi,2:3,5.5,4.44,1.65,23.08.2015
TPS - Jazz Pori,0:1,1.47,4.89,8,22.08.2015
VIFK - Ekenas,1:1,3.25,3.57,2.32,22.08.2015
Haka - JJK Jyvaskyla,1:0,2.44,3.76,2.84,20.08.2015
AC Oulu - PK-35 Vantaa,3:2,2.6,3.43,3,19.08.2015
Jazz Pori - PS Kemi,0:4,3.55,3.7,2.1,16.08.2015
VIFK - Haka,1:1,6,4.7,1.62,16.08.2015
Ekenas - Mikkeli,1:0,2,4.08,4.17,15.08.2015
JJK Jyvaskyla - AC Oulu,0:0,2.27,3.7,3.2,15.08.2015
TPS - PK-35 Vantaa,2:0,2.8,3.4,2.69,15.08.2015
Mikkeli - Jazz Pori,3:2,3.35,4,2.36,09.08.2015
AC Oulu - Ekenas,2:1,1.6,4.4,6.3,08.08.2015
PK-35 Vantaa - JJK Jyvaskyla,0:2,1.71,3.97,5.65,08.08.2015
PS Kemi - VIFK,2:1,1.26,6.61,12,08.08.2015
Haka - TPS,1:1,2.8,3.55,2.63,06.08.2015
JJK Jyvaskyla - Jazz Pori,1:2,1.69,4.4,5.5,05.08.2015
Ekenas - PK-35 Vantaa,0:3,7.83,4.85,1.45,02.08.2015
Mikkeli - Haka,3:4,4.5,4.05,1.85,02.08.2015
VIFK - TPS,1:5,6.5,4.35,1.59,02.08.2015
AC Oulu - PS Kemi,3:1,2.55,3.63,3,01.08.2015
PK-35 Vantaa - Mikkeli,2:1,1.19,8.3,19,26.07.2015
Haka - AC Oulu,1:1,2.34,3.8,3.3,25.07.2015
PS Kemi - Ekenas,3:0,1.47,5.15,7.97,25.07.2015
TPS - JJK Jyvaskyla,0:1,2.38,3.48,3.3,25.07.2015
Jazz Pori - VIFK,5:1,1.8,3.9,4.81,24.07.2015
VIFK - JJK Jyvaskyla,1:2,6.4,4.44,1.6,20.07.2015
Haka - Jazz Pori,2:1,1.66,4.59,5.72,19.07.2015
AC Oulu - Mikkeli,1:0,1.46,5.3,9.05,18.07.2015
TPS - Ekenas,1:0,1.53,4.74,6.6,18.07.2015
PS Kemi - PK-35 Vantaa,0:0,2.96,3.43,2.5,16.07.2015
Ekenas - Haka,3:1,3.3,3.68,2.29,12.07.2015
Mikkeli - TPS,0:2,4.5,3.76,1.97,12.07.2015
VIFK - AC Oulu,0:1,4.75,4.14,1.85,12.07.2015
Jazz Pori - PK-35 Vantaa,2:0,6.5,4.83,1.5,11.07.2015
JJK Jyvaskyla - PS Kemi,3:1,2.46,3.53,3.5,11.07.2015
Ekenas - JJK Jyvaskyla,1:1,5.06,4.31,1.7,08.07.2015
Mikkeli - VIFK,1:1,2.27,3.6,3.45,05.07.2015
PS Kemi - TPS,1:0,2.33,3.48,3.31,05.07.2015
AC Oulu - Jazz Pori,1:0,1.85,4,5.45,04.07.2015
PK-35 Vantaa - Haka,2:1,1.63,4.2,6.55,04.07.2015
Haka - PS Kemi,1:1,2.48,3.67,3,28.06.2015
Jazz Pori - Ekenas,2:3,2.19,3.75,3.4,28.06.2015
JJK Jyvaskyla - Mikkeli,3:0,1.37,5.5,9,28.06.2015
VIFK - PK-35 Vantaa,0:2,9,5.25,1.38,28.06.2015
TPS - AC Oulu,1:0,1.75,4,5.29,27.06.2015
JJK Jyvaskyla - Haka,2:2,2.11,3.67,3.65,25.06.2015
Ekenas - VIFK,3:4,1.85,3.97,4.7,22.06.2015
Jazz Pori - TPS,0:1,4.8,4.16,1.73,22.06.2015
PK-35 Vantaa - AC Oulu,4:1,1.63,4.26,6.08,22.06.2015
PS Kemi - Mikkeli,2:1,1.34,5.73,9.5,22.06.2015
Haka - VIFK,6:0,1.33,5.76,11.28,17.06.2015
Mikkeli - Ekenas,0:1,2.51,3.6,3.25,17.06.2015
PK-35 Vantaa - TPS,0:0,2.4,3.83,5,17.06.2015
PS Kemi - Jazz Pori,4:1,1.5,4.7,7.64,17.06.2015
Ekenas - AC Oulu,0:2,3.8,3.92,2.1,14.06.2015
Jazz Pori - Mikkeli,1:5,1.75,4.17,5.25,14.06.2015
JJK Jyvaskyla - PK-35 Vantaa,2:1,3.25,3.67,2.43,14.06.2015
TPS - Haka,3:0,2.25,3.53,3.85,14.06.2015
VIFK - PS Kemi,1:1,6,4.1,1.66,14.06.2015
