15. Round,,1,X,2,
Villarreal - Atl. Madrid,3:0,4.6,3.4,2.05,12.12.2016
Betis - Ath Bilbao,1:0,3.53,3.3,2.38,11.12.2016
Celta Vigo - Sevilla,0:3,2.85,3.51,2.7,11.12.2016
Eibar - Alaves,0:0,2,3.5,4.6,11.12.2016
Espanyol - Gijon,2:1,1.81,3.6,5.6,11.12.2016
Las Palmas - Leganes,1:1,1.84,3.64,5.25,10.12.2016
Osasuna - Barcelona,0:3,29,11,1.25,10.12.2016
Real Madrid - Dep. La Coruna,3:2,1.24,8.5,23,10.12.2016
Real Sociedad - Valencia,3:2,2,3.85,4.33,10.12.2016
Malaga - Granada CF,1:1,1.7,4.13,5.8,09.12.2016
14. Round,,1,X,2,
Dep. La Coruna - Real Sociedad,5:1,3.3,3.4,2.4,05.12.2016
Alaves - Las Palmas,1:1,2.5,3.48,3.3,04.12.2016
Ath Bilbao - Eibar,3:1,1.95,3.6,5,04.12.2016
Betis - Celta Vigo,3:3,2.8,3.4,3,04.12.2016
Gijon - Osasuna,3:1,2,3.59,5,04.12.2016
Valencia - Malaga,2:2,1.75,4.33,5.8,04.12.2016
Atl. Madrid - Espanyol,0:0,1.3,6,15,03.12.2016
Barcelona - Real Madrid,1:1,1.85,4.5,4.64,03.12.2016
Granada CF - Sevilla,2:1,5.46,4.08,1.85,03.12.2016
Leganes - Villarreal,0:0,3.25,3.3,2.7,03.12.2016
13. Round,,1,X,2,
Las Palmas - Ath Bilbao,3:1,3,3.4,2.85,28.11.2016
Celta Vigo - Granada CF,3:1,1.65,4.15,6.5,27.11.2016
Osasuna - Atl. Madrid,0:3,13.5,5.5,1.37,27.11.2016
Real Sociedad - Barcelona,1:1,7,5.04,1.55,27.11.2016
Villarreal - Alaves,0:2,1.56,4.2,8,27.11.2016
Espanyol - Leganes,3:0,2.01,3.5,4.75,26.11.2016
Malaga - Dep. La Coruna,4:3,1.98,3.79,4.75,26.11.2016
Real Madrid - Gijon,2:1,1.1,15,36,26.11.2016
Sevilla - Valencia,2:1,1.8,4.1,5,26.11.2016
Eibar - Betis,3:1,2.17,3.5,4.2,25.11.2016
12. Round,,1,X,2,
Leganes - Osasuna,2:0,2,3.5,5,21.11.2016
Alaves - Espanyol,0:1,2.77,3.2,3.1,20.11.2016
Ath Bilbao - Villarreal,1:0,2.2,3.4,4,20.11.2016
Gijon - Real Sociedad,1:3,3.75,3.5,2.2,20.11.2016
Valencia - Granada CF,1:1,1.44,5.18,9.02,20.11.2016
Atl. Madrid - Real Madrid,0:3,2.5,3.45,3.27,19.11.2016
Barcelona - Malaga,0:0,1.22,9,20,19.11.2016
Dep. La Coruna - Sevilla,2:3,3.38,3.47,2.38,19.11.2016
Eibar - Celta Vigo,1:0,2.5,3.4,3.86,19.11.2016
Betis - Las Palmas,2:0,2.4,3.53,3.2,18.11.2016
11. Round,,1,X,2,
Celta Vigo - Valencia,2:1,2.37,3.6,3.25,06.11.2016
Espanyol - Ath Bilbao,0:0,2.85,3.28,3.01,06.11.2016
Real Madrid - Leganes,3:0,1.1,13.9,35,06.11.2016
Sevilla - Barcelona,1:2,5,4.5,1.72,06.11.2016
Villarreal - Betis,2:0,1.65,4.1,7,06.11.2016
Granada CF - Dep. La Coruna,1:1,2.76,3.25,3,05.11.2016
Las Palmas - Eibar,1:0,2.08,3.77,4.2,05.11.2016
Osasuna - Alaves,0:1,2.63,3.3,3.3,05.11.2016
Real Sociedad - Atl. Madrid,2:0,6.03,3.96,1.7,05.11.2016
Malaga - Gijon,3:2,1.75,3.89,5.8,04.11.2016
10. Round,,1,X,2,
Dep. La Coruna - Valencia,1:1,3.03,3.41,2.6,31.10.2016
Ath Bilbao - Osasuna,1:1,1.45,5,10,30.10.2016
Betis - Espanyol,0:1,2.22,3.41,3.7,30.10.2016
Eibar - Villarreal,2:1,3.25,3.2,2.63,30.10.2016
Las Palmas - Celta Vigo,3:3,2.4,3.61,3.3,30.10.2016
Alaves - Real Madrid,1:4,17,7.75,1.25,29.10.2016
Atl. Madrid - Malaga,4:2,1.25,6.55,17,29.10.2016
Barcelona - Granada CF,1:0,1.06,23,81,29.10.2016
Gijon - Sevilla,1:1,4.63,3.82,1.91,29.10.2016
Leganes - Real Sociedad,0:2,2.83,3.2,3,28.10.2016
9. Round,,1,X,2,
Celta Vigo - Dep. La Coruna,4:1,1.83,3.8,5.5,23.10.2016
Malaga - Leganes,4:0,2.19,3.4,4,23.10.2016
Real Madrid - Ath Bilbao,2:1,1.25,8.4,17,23.10.2016
Sevilla - Atl. Madrid,1:0,4.15,3.62,2.1,23.10.2016
Villarreal - Las Palmas,2:1,1.68,4.04,6.5,23.10.2016
Espanyol - Eibar,3:3,2.25,3.4,4,22.10.2016
Granada CF - Gijon,0:0,2.4,3.4,3.7,22.10.2016
Real Sociedad - Alaves,3:0,1.75,3.98,6.05,22.10.2016
Valencia - Barcelona,2:3,8.5,5.75,1.45,22.10.2016
Osasuna - Betis,1:2,2.66,3.3,3.15,21.10.2016
8. Round,,1,X,2,
Eibar - Osasuna,2:3,1.75,4.2,6.25,17.10.2016
Alaves - Malaga,1:1,3,3.1,2.95,16.10.2016
Ath Bilbao - Real Sociedad,3:2,1.89,3.6,4.9,16.10.2016
Gijon - Valencia,1:2,3.55,3.55,2.3,16.10.2016
Villarreal - Celta Vigo,5:0,2.15,3.43,4.2,16.10.2016
Atl. Madrid - Granada CF,7:1,1.15,10.72,34,15.10.2016
Barcelona - Dep. La Coruna,4:0,1.14,10.5,29,15.10.2016
Betis - Real Madrid,1:6,12.5,6.55,1.37,15.10.2016
Leganes - Sevilla,2:3,3.75,3.5,2.3,15.10.2016
Las Palmas - Espanyol,0:0,2,3.75,4.53,14.10.2016
7. Round,,1,X,2,
Celta Vigo - Barcelona,4:3,8.52,5,1.5,02.10.2016
Espanyol - Villarreal,0:0,3.21,3.2,2.7,02.10.2016
Malaga - Ath Bilbao,2:1,2.65,3.3,3.1,02.10.2016
Real Madrid - Eibar,1:1,1.12,12,28,02.10.2016
Valencia - Atl. Madrid,0:2,4.8,3.66,1.9,02.10.2016
Dep. La Coruna - Gijon,2:1,2,3.5,4.99,01.10.2016
Granada CF - Leganes,0:1,2.5,3.3,3.21,01.10.2016
Osasuna - Las Palmas,2:2,2.77,3.46,2.75,01.10.2016
Sevilla - Alaves,2:1,1.5,4.85,10.5,01.10.2016
Real Sociedad - Betis,1:0,1.86,3.75,4.9,30.09.2016
6. Round,,1,X,2,
Alaves - Granada CF,3:1,2.1,3.6,4.6,26.09.2016
Atl. Madrid - Dep. La Coruna,1:0,1.22,7,21,25.09.2016
Espanyol - Celta Vigo,0:2,2.4,3.4,3.4,25.09.2016
Leganes - Valencia,1:2,3.1,3.4,2.5,25.09.2016
Villarreal - Osasuna,3:1,1.4,5,10.5,25.09.2016
Ath Bilbao - Sevilla,3:1,2.15,3.5,4.38,24.09.2016
Eibar - Real Sociedad,2:0,2.75,3.24,2.95,24.09.2016
Gijon - Barcelona,0:5,14,6.79,1.29,24.09.2016
Las Palmas - Real Madrid,2:2,9.15,6,1.36,24.09.2016
Betis - Malaga,1:0,2.67,3.25,3.15,23.09.2016
5. Round,,1,X,2,
Dep. La Coruna - Leganes,1:2,2.26,3.3,3.8,22.09.2016
Osasuna - Espanyol,1:2,3.36,3.3,2.65,22.09.2016
Valencia - Alaves,2:1,1.65,4.4,6.73,22.09.2016
Barcelona - Atl. Madrid,1:1,1.6,4.51,6.74,21.09.2016
Celta Vigo - Gijon,2:1,1.66,4.22,6,21.09.2016
Granada CF - Ath Bilbao,1:2,4.33,3.65,2.1,21.09.2016
Real Madrid - Villarreal,1:1,1.29,7.55,15,21.09.2016
Real Sociedad - Las Palmas,4:1,2,3.7,4.67,21.09.2016
Malaga - Eibar,2:1,1.87,3.51,5.65,20.09.2016
Sevilla - Betis,1:0,1.57,4.6,6.8,20.09.2016
4. Round,,1,X,2,
Alaves - Dep. La Coruna,0:0,2.4,3.2,3.6,19.09.2016
Ath Bilbao - Valencia,2:1,1.91,3.8,4.6,18.09.2016
Espanyol - Real Madrid,0:2,8.5,5.2,1.45,18.09.2016
Osasuna - Celta Vigo,0:0,3.5,3.31,2.6,18.09.2016
Villarreal - Real Sociedad,2:1,1.9,3.5,5.35,18.09.2016
Atl. Madrid - Gijon,5:0,1.22,7.35,21,17.09.2016
Eibar - Sevilla,1:1,3.01,3.46,2.6,17.09.2016
Las Palmas - Malaga,1:0,2.3,3.5,3.5,17.09.2016
Leganes - Barcelona,1:5,19,8.5,1.2,17.09.2016
Betis - Granada CF,2:2,1.9,3.96,5.25,16.09.2016
3. Round,,1,X,2,
Dep. La Coruna - Ath Bilbao,0:1,3.68,3.4,2.25,11.09.2016
Gijon - Leganes,2:1,2.63,3.2,3.5,11.09.2016
Granada CF - Eibar,1:2,2.61,3.4,3.3,11.09.2016
Valencia - Betis,2:3,1.7,4.42,6.74,11.09.2016
Barcelona - Alaves,1:2,1.1,13.38,36,10.09.2016
Celta Vigo - Atl. Madrid,0:4,6.25,3.7,1.8,10.09.2016
Malaga - Villarreal,0:2,2.53,3.2,3.4,10.09.2016
Real Madrid - Osasuna,5:2,1.07,17.7,51,10.09.2016
Sevilla - Las Palmas,2:1,1.65,4.7,7,10.09.2016
Real Sociedad - Espanyol,1:1,2.05,3.62,4.2,09.09.2016
2. Round,,1,X,2,
Alaves - Gijon,0:0,2.53,3.2,3.5,28.08.2016
Ath Bilbao - Barcelona,0:1,6.5,4.5,1.6,28.08.2016
Las Palmas - Granada CF,5:1,1.9,3.85,5,28.08.2016
Villarreal - Sevilla,0:0,2.5,3.5,3.2,28.08.2016
Eibar - Valencia,1:0,2.88,3.4,2.85,27.08.2016
Leganes - Atl. Madrid,0:0,9.31,4.15,1.55,27.08.2016
Osasuna - Real Sociedad,0:2,3.2,3.22,2.6,27.08.2016
Real Madrid - Celta Vigo,2:1,1.2,8.55,17.85,27.08.2016
Betis - Dep. La Coruna,0:0,2.31,3.5,3.69,26.08.2016
Espanyol - Malaga,2:2,2.4,3.25,3.51,26.08.2016
1. Round,,1,X,2,
Celta Vigo - Leganes,0:1,1.68,3.9,6.5,22.08.2016
Valencia - Las Palmas,2:4,1.76,3.89,5.23,22.08.2016
Atl. Madrid - Alaves,1:1,1.25,6,21,21.08.2016
Gijon - Ath Bilbao,2:1,4.66,3.6,2,21.08.2016
