21. Round,,1,X,2,
Bolton - Gillingham FC,4:0,1.73,4,6,12.12.2016
Bradford - Charlton,0:0,2.05,3.8,4.6,10.12.2016
Bristol Rovers - Bury,4:2,1.71,4.4,5.4,10.12.2016
Fleetwood Town - Walsall,2:1,2.05,3.6,3.87,10.12.2016
Millwall - Shrewsbury,0:1,1.67,4.34,6.5,10.12.2016
Milton Keynes Dons - AFC Wimbledon,1:0,2.3,3.56,3.5,10.12.2016
Oxford Utd - Oldham,1:1,1.91,3.75,4.5,10.12.2016
Peterborough - Chesterfield,5:2,1.67,4.2,5.5,10.12.2016
Port Vale - Northampton,2:3,3.2,3.5,2.5,10.12.2016
Rochdale - Scunthorpe,3:2,2.66,3.25,3.1,10.12.2016
Sheffield Utd - Swindon,4:0,1.44,5,9,10.12.2016
Southend - Coventry,3:1,2.19,3.6,3.7,10.12.2016
12. Round,,1,X,2,
Sheffield Utd - Walsall,0:1,1.44,5,9,29.11.2016
20. Round,,1,X,2,
AFC Wimbledon - Fleetwood Town,2:2,2.15,3.61,3.75,26.11.2016
Bury - Millwall,2:3,3.51,3.5,2.3,26.11.2016
Charlton - Sheffield Utd,1:1,3.53,3.54,2.3,26.11.2016
Chesterfield - Bristol Rovers,3:2,3.69,3.75,2.15,26.11.2016
Coventry - Milton Keynes Dons,1:2,2.85,3.5,2.7,26.11.2016
Gillingham FC - Rochdale,3:0,2.87,3.45,2.76,26.11.2016
Northampton - Bolton,0:1,3,3.33,2.69,26.11.2016
Scunthorpe - Oxford Utd,1:1,2.01,3.8,4.2,26.11.2016
Shrewsbury - Port Vale,0:0,2.45,3.5,3.25,26.11.2016
Swindon - Bradford,1:0,3.8,3.62,2.15,26.11.2016
Walsall - Southend,0:0,2.6,3.4,3,26.11.2016
19. Round,,1,X,2,
Bolton - Coventry,1:0,1.8,3.82,5.05,22.11.2016
Bradford - Northampton,1:0,1.97,3.7,4.48,22.11.2016
Bristol Rovers - Charlton,1:5,2.17,3.6,3.75,22.11.2016
Fleetwood Town - Shrewsbury,3:0,2,3.8,4.25,22.11.2016
Millwall - AFC Wimbledon,0:0,2.38,3.4,3.75,22.11.2016
Milton Keynes Dons - Chesterfield,2:3,1.62,4.7,6.5,22.11.2016
Oxford Utd - Gillingham FC,1:0,2.1,3.6,4.01,22.11.2016
Peterborough - Scunthorpe,0:2,2.64,3.52,2.8,22.11.2016
Port Vale - Oldham,2:2,2.9,3.25,2.8,22.11.2016
