18. Round,,1,X,2,
Caen - Metz,3:0,2.03,3.5,4.5,18.12.2016
Marseille - Lille,2:0,2,3.5,4.54,18.12.2016
Nice - Dijon,2:1,1.65,4.23,6.6,18.12.2016
Guingamp - Paris SG,2:1,7.25,4.55,1.58,17.12.2016
Lorient - St Etienne,2:1,2.65,3.3,3.07,17.12.2016
Montpellier - Bordeaux,4:0,2.4,3.3,3.44,17.12.2016
Rennes - Bastia,1:2,1.76,3.7,6,17.12.2016
Toulouse - Nancy,1:1,2.12,3.3,4.6,17.12.2016
Angers - Nantes,0:2,2.47,3.1,3.66,16.12.2016
17. Round,,1,X,2,
Lyon - Rennes,1:0,1.6,4.6,7.5,11.12.2016
Paris SG - Nice,2:2,1.42,5.77,10,11.12.2016
St Etienne - Guingamp,1:0,2.1,3.3,4.39,11.12.2016
Bastia - Metz,2:0,1.93,3.47,4.9,10.12.2016
Bordeaux - Monaco,0:4,3.75,3.5,2.21,10.12.2016
Dijon - Marseille,1:2,3.14,3.4,2.51,10.12.2016
Lille - Montpellier,2:1,2.03,3.41,4.61,10.12.2016
Nancy - Angers,2:0,2.52,3.1,3.48,10.12.2016
Toulouse - Lorient,3:2,2.11,3.41,4.01,10.12.2016
16. Round,,1,X,2,
Marseille - Nancy,3:0,1.81,3.53,5.56,04.12.2016
Nice - Toulouse,3:0,1.89,3.5,5.25,04.12.2016
Rennes - St Etienne,2:0,2.63,3.15,3.3,04.12.2016
Angers - Lorient,2:2,2.2,3.34,4.17,03.12.2016
Bordeaux - Lille,0:1,2.45,3.15,3.8,03.12.2016
Guingamp - Nantes,2:0,2.25,3.19,4,03.12.2016
Metz - Lyon,1:0 ABN.,6.5,4.7,1.7,03.12.2016
Monaco - Bastia,5:0,1.35,5.5,12,03.12.2016
Montpellier - Paris SG,3:0,7.5,4.64,1.6,03.12.2016
Caen - Dijon,3:3,2.2,3.4,3.75,02.12.2016
15. Round,,1,X,2,
Bastia - Bordeaux,1:1,3.25,3.1,2.67,30.11.2016
Guingamp - Nice,0:1,2.65,3.25,3.06,30.11.2016
Nancy - Metz,4:0,2.15,3.29,4.04,30.11.2016
Nantes - Lyon,0:6,3.81,3.47,2.3,30.11.2016
Paris SG - Angers,2:0,1.25,7,17,30.11.2016
St Etienne - Marseille,0:0,2.2,3.3,4,30.11.2016
Toulouse - Montpellier,1:0,2.38,3.31,3.7,30.11.2016
Dijon - Monaco,1:1,5.6,4.26,1.7,29.11.2016
Lille - Caen,4:2,1.85,3.6,5.98,29.11.2016
Lorient - Rennes,2:1,2.74,3.32,2.9,29.11.2016
14. Round,,1,X,2,
Angers - St Etienne,1:2,2.73,3.15,3.3,27.11.2016
Lyon - Paris SG,1:2,3.98,3.6,2.1,27.11.2016
Nice - Bastia,1:1,1.67,3.9,6.5,27.11.2016
Bordeaux - Dijon,3:2,1.7,4.07,6.25,26.11.2016
Caen - Guingamp,1:1,2.5,3.25,3.4,26.11.2016
Metz - Lorient,3:3,2.7,3.32,3.08,26.11.2016
Monaco - Marseille,4:0,1.7,4.15,5.95,26.11.2016
Montpellier - Nancy,0:0,1.9,3.66,4.75,26.11.2016
Nantes - Lille,0:0,2.55,3.1,3.6,26.11.2016
Rennes - Toulouse,1:0,2.45,3.28,3.3,25.11.2016
13. Round,,1,X,2,
Guingamp - Bordeaux,1:1,2.6,3.3,3.1,20.11.2016
Marseille - Caen,1:0,1.85,3.75,5,20.11.2016
St Etienne - Nice,0:1,2.28,3.3,4.2,20.11.2016
Bastia - Montpellier,1:1,3,3.25,2.73,19.11.2016
Nancy - Dijon,1:0,2.2,3.45,4,19.11.2016
Paris SG - Nantes,2:0,1.25,7.1,17.2,19.11.2016
Rennes - Angers,1:1,2.6,3.1,3.6,19.11.2016
Toulouse - Metz,1:2,1.56,4.3,7.5,19.11.2016
Lille - Lyon,0:1,3.25,3.25,2.61,18.11.2016
Lorient - Monaco,0:3,4.35,3.75,2.03,18.11.2016
12. Round,,1,X,2,
Caen - Nice,1:0,3.1,3.4,2.51,06.11.2016
Metz - St Etienne,0:0,3.8,3.5,2.27,06.11.2016
Paris SG - Rennes,4:0,1.3,7.16,15,06.11.2016
Angers - Lille,1:0,2.5,3.1,3.56,05.11.2016
Bordeaux - Lorient,2:1,1.8,3.87,5.25,05.11.2016
Dijon - Guingamp,3:3,2.67,3.16,3.2,05.11.2016
Lyon - Bastia,2:1,1.44,4.81,9.5,05.11.2016
