14. Round,,1,X,2,
Guimaraes - Setubal,3:1,1.9,3.23,4.35,18.12.2016
Rio Ave - Nacional,2:1,1.61,3.83,5.4,18.12.2016
Sporting - Braga,0:1,1.36,4.62,8.72,18.12.2016
Tondela - Boavista,1:1,2.26,2.98,3.43,18.12.2016
Estoril - Benfica,0:1,12.21,5.59,1.24,17.12.2016
Moreirense - Arouca,1:4,2.17,3.07,3.54,17.12.2016
Ferreira - Belenenses,1:0,2.43,3.01,3.07,16.12.2016
15. Round,,1,X,2,
FC Porto - Maritimo,2:1,1.15,7.13,17.34,15.12.2016
13. Round,,1,X,2,
Arouca - Rio Ave,0:2,2.87,2.89,2.68,12.12.2016
Benfica - Sporting,2:1,2.29,3.03,3.28,11.12.2016
Braga - Ferreira,3:0,1.69,3.63,4.99,11.12.2016
Feirense - FC Porto,0:4,12.85,5.78,1.22,11.12.2016
Nacional - Tondela,3:2,2.06,3.22,3.66,11.12.2016
Belenenses - Maritimo,1:0,2.32,3.08,3.19,10.12.2016
Boavista - Guimaraes,1:2,3.25,3.11,2.28,10.12.2016
Chaves - Moreirense,2:1,2.41,3.02,3.1,10.12.2016
Setubal - Estoril,2:0,2.12,3.12,3.61,09.12.2016
12. Round,,1,X,2,
Ferreira - Boavista,2:1,2.17,3.03,3.6,05.12.2016
Estoril - Belenenses,1:1,2.84,3.03,2.59,04.12.2016
Feirense - Arouca,0:2,2.64,2.99,2.8,04.12.2016
Guimaraes - Chaves,1:1,1.83,3.33,4.55,04.12.2016
Moreirense - Nacional,3:1,2.23,3.17,3.3,04.12.2016
FC Porto - Braga,1:0,1.4,4.51,7.49,03.12.2016
Rio Ave - Tondela,3:1,1.76,3.4,4.78,03.12.2016
Sporting - Setubal,2:0,1.19,6.32,14.11,03.12.2016
Maritimo - Benfica,2:1,7.82,4.42,1.4,02.12.2016
11. Round,,1,X,2,
Braga - Feirense,6:2,1.48,4.13,6.46,28.11.2016
Arouca - Ferreira,1:0,2.35,3.07,3.17,27.11.2016
Benfica - Moreirense,3:0,1.18,6.53,14.18,27.11.2016
Tondela - Guimaraes,2:1,3.32,3.19,2.19,27.11.2016
Belenenses - FC Porto,0:0,10.28,5.05,1.3,26.11.2016
Boavista - Sporting,0:1,9.52,4.56,1.35,26.11.2016
Chaves - Maritimo,0:0,2.12,3.1,3.61,26.11.2016
Nacional - Estoril,0:1,2.03,3.3,3.63,26.11.2016
Setubal - Rio Ave,0:1,2.7,3,2.71,25.11.2016
10. Round,,1,X,2,
FC Porto - Benfica,1:1,1.88,3.38,4.18,06.11.2016
Maritimo - Braga,1:0,3.01,3.19,2.35,06.11.2016
Moreirense - Setubal,1:2,2.18,3.12,3.47,06.11.2016
Sporting - Arouca,3:0,1.21,5.93,12.75,06.11.2016
Estoril - Tondela,2:0,2.2,3.14,3.38,05.11.2016
Feirense - Belenenses,0:1,2.55,3.03,2.87,05.11.2016
Ferreira - Chaves,1:1,2.44,2.98,3.08,05.11.2016
Rio Ave - Boavista,1:2,1.89,3.24,4.36,05.11.2016
Guimaraes - Nacional,2:1,1.55,4.09,5.55,04.11.2016
9. Round,,1,X,2,
Chaves - Feirense,1:1,1.94,3.22,4.09,31.10.2016
Arouca - Maritimo,1:0,2.58,3.06,2.78,30.10.2016
Braga - Belenenses,2:1,1.57,3.82,5.83,30.10.2016
Rio Ave - Guimaraes,0:3,2.39,3.15,3,30.10.2016
Boavista - Estoril,0:0,2.21,3.06,3.43,29.10.2016
Setubal - FC Porto,0:0,10.1,5.22,1.29,29.10.2016
Tondela - Moreirense,1:2,2.48,3.04,2.95,29.10.2016
Benfica - Ferreira,3:0,1.2,6.24,13.07,28.10.2016
Nacional - Sporting,0:0,7.83,4.68,1.38,28.10.2016
8. Round,,1,X,2,
Braga - Chaves,1:0,1.6,3.7,5.83,24.10.2016
Belenenses - Benfica,0:2,8.47,4.74,1.35,23.10.2016
Estoril - Guimaraes,0:2,3.13,3.25,2.26,23.10.2016
Moreirense - Rio Ave,1:1,2.85,3.08,2.54,23.10.2016
FC Porto - Arouca,3:0,1.14,7.26,17.7,22.10.2016
Feirense - Setubal,1:1,2.43,2.96,3.1,22.10.2016
Sporting - Tondela,1:1,1.2,6.27,13.58,22.10.2016
Ferreira - Nacional,1:1,2.27,3.21,3.18,21.10.2016
Maritimo - Boavista,1:1,1.97,3.18,4.03,21.10.2016
7. Round,,1,X,2,
Arouca - Braga,1:1,3.3,3.17,2.22,02.10.2016
Benfica - Feirense,4:0,1.18,6.6,15.04,02.10.2016
Boavista - Moreirense,2:0,2.35,2.96,3.27,02.10.2016
Setubal - Maritimo,0:1,2.25,3.16,3.25,02.10.2016
Chaves - Belenenses,3:1,2.32,3.07,3.21,01.10.2016
Guimaraes - Sporting,3:3,5.63,3.73,1.6,01.10.2016
Nacional - FC Porto,0:4,8.87,4.84,1.33,01.10.2016
Rio Ave - Estoril,1:2,1.73,3.46,4.96,01.10.2016
Tondela - Ferreira,2:1,2.48,3.05,2.97,30.09.2016
6. Round,,1,X,2,
Belenenses - Arouca,1:1,2.05,3.2,3.72,26.09.2016
Ferreira - Rio Ave,2:1,2.81,3.08,2.57,25.09.2016
Maritimo - Tondela,2:0,1.99,3.37,3.74,25.09.2016
Moreirense - Guimaraes,0:1,2.85,3.01,2.58,25.09.2016
Braga - Setubal,2:1,1.54,3.85,6.2,24.09.2016
Chaves - Benfica,0:2,7.2,4.11,1.45,24.09.2016
Feirense - Nacional,0:3,2.3,3.09,3.22,24.09.2016
FC Porto - Boavista,3:1,1.17,6.77,15.84,23.09.2016
Sporting - Estoril,4:2,1.18,6.58,15.33,23.09.2016
5. Round,,1,X,2,
Benfica - Braga,3:1,1.52,3.95,6.48,19.09.2016
Arouca - Chaves,0:1,2.32,3.02,3.24,18.09.2016
Boavista - Feirense,1:2,2.24,2.98,3.47,18.09.2016
Rio Ave - Sporting,3:1,6.1,3.6,1.59,18.09.2016
Tondela - FC Porto,0:0,8.14,4.89,1.35,18.09.2016
Estoril - Moreirense,2:0,2.42,3.05,3.04,17.09.2016
Guimaraes - Belenenses,1:1,1.85,3.42,4.25,17.09.2016
Setubal - Ferreira,1:4,2.07,3.19,3.67,17.09.2016
Nacional - Maritimo,2:0,2.6,3.14,2.75,16.09.2016
4. Round,,1,X,2,
Feirense - Tondela,2:1,2.43,2.98,3.08,12.09.2016
Braga - Boavista,3:0,1.45,4.06,7.59,11.09.2016
Chaves - Setubal,0:0,2.33,3.09,3.14,11.09.2016
Ferreira - Estoril,0:0,2,3.26,3.78,11.09.2016
Maritimo - Rio Ave,0:1,2.62,3.11,2.73,11.09.2016
Belenenses - Nacional,2:1,2.01,3.35,3.67,10.09.2016
FC Porto - Guimaraes,3:0,1.33,4.86,9.09,10.09.2016
Sporting - Moreirense,3:0,1.23,5.63,12.65,10.09.2016
Arouca - Benfica,1:2,7.07,4.05,1.47,09.09.2016
1. Round,,1,X,2,
Nacional - Chaves,0:1,2.47,3.02,3,04.09.2016
3. Round,,1,X,2,
Boavista - Chaves,2:2,2.39,2.93,3.22,28.08.2016
Moreirense - Maritimo,0:1,2.3,3.11,3.18,28.08.2016
Rio Ave - Feirense,1:0,1.84,3.24,4.55,28.08.2016
Setubal - Arouca,2:0,2.23,3.11,3.32,28.08.2016
Sporting - FC Porto,2:1,2.34,3.13,3.11,28.08.2016
Estoril - Braga,1:3,4.25,3.46,1.84,27.08.2016
