17. Round,,1,X,2,
Chievo - Sampdoria,2:1,2.22,3.17,3.5,18.12.2016
Genoa - Palermo,3:4,1.5,4.01,7.2,18.12.2016
Lazio - Fiorentina,3:1,1.81,3.68,4.39,18.12.2016
Napoli - Torino,5:3,1.42,4.68,7.35,18.12.2016
Pescara - Bologna,0:3,2.4,3.19,3.08,18.12.2016
Sassuolo - Inter,0:1,4.52,3.75,1.77,18.12.2016
Udinese - Crotone,2:0,1.61,3.76,6.1,18.12.2016
AC Milan - Atalanta,0:0,2.24,3.15,3.43,17.12.2016
Empoli - Cagliari,2:0,2.06,3.31,3.77,17.12.2016
Juventus - AS Roma,1:0,1.7,3.63,5.45,17.12.2016
3. Round,,1,X,2,
Genoa - Fiorentina,1:0,2.91,2.71,2.85,15.12.2016
16. Round,,1,X,2,
AS Roma - AC Milan,1:0,1.65,3.94,5.21,12.12.2016
Fiorentina - Sassuolo,2:1,1.6,4.06,5.6,12.12.2016
Atalanta - Udinese,1:3,1.73,3.53,5.25,11.12.2016
Bologna - Empoli,0:0,2.2,3.16,3.54,11.12.2016
Cagliari - Napoli,0:5,6.63,4.52,1.47,11.12.2016
Inter - Genoa,2:0,1.63,3.89,5.5,11.12.2016
Palermo - Chievo,0:2,2.99,3.01,2.6,11.12.2016
Torino - Juventus,1:3,4.45,3.43,1.86,11.12.2016
Crotone - Pescara,2:1,2.85,3.15,2.61,10.12.2016
Sampdoria - Lazio,1:2,3.3,3.43,2.18,10.12.2016
15. Round,,1,X,2,
Chievo - Genoa,0:0,2.49,3.04,3.11,05.12.2016
Udinese - Bologna,1:0,1.99,3.27,4.07,05.12.2016
AC Milan - Crotone,2:1,1.3,5.33,10.47,04.12.2016
Fiorentina - Palermo,2:1,1.34,5.15,9.12,04.12.2016
Lazio - AS Roma,0:2,2.8,3.33,2.53,04.12.2016
Pescara - Cagliari,1:1,2.21,3.35,3.3,04.12.2016
Sampdoria - Torino,2:0,2.85,3.35,2.46,04.12.2016
Sassuolo - Empoli,3:0,1.8,3.5,4.66,04.12.2016
Juventus - Atalanta,3:1,1.45,4.19,7.99,03.12.2016
Napoli - Inter,3:0,1.79,3.74,4.41,02.12.2016
14. Round,,1,X,2,
Inter - Fiorentina,4:2,2.1,3.39,3.56,28.11.2016
Napoli - Sassuolo,1:1,1.3,5.39,10.18,28.11.2016
AS Roma - Pescara,3:2,1.19,7.38,13.72,27.11.2016
Bologna - Atalanta,0:2,3.02,3.09,2.51,27.11.2016
Cagliari - Udinese,2:1,2.4,3.2,3.09,27.11.2016
Crotone - Sampdoria,1:1,2.96,3.28,2.43,27.11.2016
Genoa - Juventus,3:1,6.28,3.64,1.62,27.11.2016
Palermo - Lazio,0:1,5.08,3.88,1.67,27.11.2016
Empoli - AC Milan,1:4,3.43,3.21,2.22,26.11.2016
Torino - Chievo,2:1,1.7,3.61,5.32,26.11.2016
13. Round,,1,X,2,
AC Milan - Inter,2:2,2.84,3.09,2.67,20.11.2016
Atalanta - AS Roma,2:1,3.67,3.52,2.01,20.11.2016
Bologna - Palermo,3:1,1.87,3.36,4.48,20.11.2016
Crotone - Torino,0:2,4.79,3.71,1.74,20.11.2016
Empoli - Fiorentina,0:4,3.82,3.37,2.02,20.11.2016
Lazio - Genoa,3:1,1.69,3.82,5.01,20.11.2016
Sampdoria - Sassuolo,3:2,2.18,3.33,3.39,20.11.2016
Chievo - Cagliari,1:0,1.94,3.38,4.12,19.11.2016
Juventus - Pescara,3:0,1.14,8.12,18.72,19.11.2016
Udinese - Napoli,1:2,4.99,3.87,1.69,19.11.2016
12. Round,,1,X,2,
AS Roma - Bologna,3:0,1.24,6.22,11.45,06.11.2016
Chievo - Juventus,1:2,7.08,3.75,1.55,06.11.2016
Fiorentina - Sampdoria,1:1,1.55,4.12,6.02,06.11.2016
Genoa - Udinese,1:1,1.9,3.41,4.28,06.11.2016
Inter - Crotone,3:0,1.27,5.7,11.35,06.11.2016
Palermo - AC Milan,1:2,4.94,3.62,1.73,06.11.2016
Pescara - Empoli,0:4,2.37,3.15,3.18,06.11.2016
Sassuolo - Atalanta,0:3,2.61,3.15,2.84,06.11.2016
Napoli - Lazio,1:1,1.69,3.86,5.01,05.11.2016
Torino - Cagliari,5:1,1.55,4.19,5.97,05.11.2016
11. Round,,1,X,2,
Cagliari - Palermo,2:1,1.73,3.7,4.86,31.10.2016
Udinese - Torino,2:2,2.68,3.24,2.68,31.10.2016
AC Milan - Pescara,1:0,1.35,4.94,9.08,30.10.2016
